PoF,Order proportion
1.0,4.0
1.0089330024813896,10.0
1.003982858708304,4.0
1.0008060149097124,11.0
1.000938521941604,4.0
1.0,11.0
1.0064393047606544,3.0
1.0,10.0
1.0,4.0
1.0013135829529578,13.0
1.0,5.0
1.0054042741175724,10.0
1.0,3.0
1.000114403701718,11.0
1.0,3.0
1.0065401313417863,13.0
1.0045079838931656,3.0
1.0039924773800422,10.0
1.0050429837388002,3.0
1.0111640230335814,10.0
1.0017927924477723,4.0
1.002746184433229,12.0
1.0,4.0
1.0045878597503823,10.0
1.0,4.0
1.0016251515468062,11.0
1.0002607605259695,4.0
1.0037301924196484,10.0
1.000183780369182,4.0
1.0023391988962378,12.0
1.0,4.0
1.0015072309477038,12.0
1.004512154667014,4.0
1.0048310077258924,12.0
1.0072617507546355,4.0
1.0063932372896927,12.0
1.0060336042552134,4.0
1.0005582909994166,10.0
1.002445169928777,4.0
1.0058632669508,10.0
1.0022963514663077,4.0
1.0063732340279379,10.0
1.0021323256137247,4.0
1.0038665231915533,10.0
1.0,4.0
1.0014646088370063,11.0
1.0002107275824226,4.0
1.007859997593482,12.0
1.0,4.0
1.0,10.0
1.0042562381170441,5.0
1.0051527460974534,11.0
1.002859920450047,3.0
1.0041933754482537,10.0
1.0010348156008584,3.0
1.0,10.0
1.003155413930836,3.0
1.0054506786163155,11.0
1.0062795299243026,4.0
1.001148049041408,10.0
1.0043971309891984,3.0
1.0089714577873767,11.0
1.0010526102838444,4.0
1.0,11.0
1.0005261228291897,4.0
1.0044769870624495,12.0
1.0009064978389068,3.0
1.0050703559930172,10.0
1.0002518520518897,4.0
1.0017014718330264,12.0
1.0,3.0
1.0,11.0
1.0062485200873479,3.0
1.0031778788204526,10.0
1.003004112090118,4.0
1.0055741039036004,10.0
1.0,4.0
1.0039098344059274,13.0
1.0,4.0
1.002140325784303,11.0
1.0,5.0
1.0020507842194348,10.0
1.0004771024463974,4.0
1.0007364114231698,11.0
1.0016981592554788,3.0
1.0047313688792583,11.0
1.0000081109485057,4.0
1.0046666010323342,10.0
1.0028516671741277,4.0
1.0049729411638424,10.0
1.002102154861143,4.0
1.0011718262081482,10.0
1.0026917619443312,4.0
1.0025592555398415,10.0
1.0,5.0
1.0,10.0
1.0,4.0
1.0,10.0
1.0007315493992046,4.0
1.0024178642108732,10.0
1.0044548991184117,3.0
1.0037635193986276,11.0
1.000587968576346,4.0
1.0036848971834755,12.0
1.0002151925973746,4.0
1.0007172074167685,11.0
1.007504920238164,5.0
1.006439123352717,10.0
1.0,4.0
1.0016347179120781,11.0
1.001270296810765,3.0
1.0088612839765765,10.0
1.0006474834946364,4.0
1.0037382833711412,11.0
1.0012672269306628,5.0
1.0021012411542505,11.0
1.0059251555326354,4.0
1.000564894103999,11.0
1.0,4.0
1.0025551408967603,10.0
1.0006037681184485,4.0
1.0001013398163097,10.0
1.0014650445376667,4.0
1.0021235427632875,11.0
1.0009627432962995,4.0
1.0,10.0
1.01103058748563,5.0
1.0008015730181583,11.0
1.0004283855285259,4.0
1.0018564192025199,11.0
1.0022413605500762,4.0
1.0124248189691893,11.0
1.0,6.0
1.0,10.0
1.0000025709320142,3.0
1.0012758991374278,10.0
1.0096167024669587,4.0
1.003835550045691,12.0
1.0020609496973716,3.0
1.0030294424524784,12.0
1.003986216821485,6.0
1.004854114268865,11.0
1.0,4.0
1.0013655007358353,10.0
1.002801240043362,4.0
1.0039784654886887,11.0
1.0005619803812413,3.0
1.0073679848682595,12.0
1.0,3.0
1.0033930119857044,10.0
1.0,5.0
1.0047915362304025,11.0
1.0,4.0
1.0015286133126398,10.0
1.0022511087245247,5.0
1.0053595496808414,11.0
1.0001111540126597,3.0
1.0003584732158164,11.0
1.000613364358074,4.0
1.0012460201028845,11.0
1.003912970638152,3.0
1.0006820398146268,10.0
1.0000698037059093,4.0
1.0013004190439547,10.0
1.0018712006671644,4.0
1.0060586108044045,11.0
1.0008600055049643,4.0
1.0032962962543428,11.0
1.001767338255204,5.0
1.0,12.0
1.0,4.0
1.0,11.0
1.0,4.0
1.0041620852988877,12.0
1.007334050342399,4.0
1.0107301864934235,11.0
1.0050213901742395,4.0
1.0032416019506514,10.0
1.0011693648473479,4.0
1.0,12.0
1.0009820070607027,4.0
1.0015725890837839,10.0
1.0012648233057717,4.0
1.0039404594688865,10.0
1.0021475406991691,4.0
1.0,12.0
1.0000812994804045,3.0
1.001581255831166,10.0
1.0022084822095672,3.0
1.0041276473390974,11.0
1.0,4.0
1.0064975308915756,10.0
1.0073825785368662,4.0
1.0199376338705446,12.0
1.0005014020922314,4.0
1.0009786614978613,10.0
1.0054993174948028,3.0
1.0,12.0
1.0014109465893684,3.0
1.0044460575760636,11.0
1.0,4.0
1.0038671472898144,10.0
1.0025588603838291,4.0
1.0042634874454495,11.0
1.000238864642232,4.0
1.0,10.0
1.0068184697541858,4.0
1.0022420244491799,10.0
1.0,3.0
1.0008559342183008,12.0
1.0,3.0
1.0007594307194991,12.0
1.0046960863007293,3.0
1.0038247123585142,10.0
1.0,3.0
1.004634905910416,10.0
1.0,3.0
1.0006285131392807,12.0
1.0004303586216754,5.0
1.0006046938091608,11.0
1.0,4.0
1.0048388086674405,11.0
1.0005050635617132,3.0
1.0071257502915218,11.0
1.0,3.0
1.0012385845535061,12.0
1.0110725104056522,5.0
1.005358577007758,10.0
1.0,3.0
1.0,11.0
1.0016341277774212,4.0
1.0007336284122015,11.0
1.0024838484910863,5.0
1.0004076561332744,10.0
1.0003164616088862,4.0
1.0075822337227902,10.0
1.0040418707918186,4.0
1.0042857875643176,10.0
1.0014311850802642,5.0
1.0,10.0
1.0002355708151696,4.0
1.0028391787755782,12.0
1.0006822445846837,4.0
1.0001685857859504,11.0
1.0038391931436845,3.0
1.0068007099982517,12.0
1.0,3.0
1.000080512405723,10.0
1.0031219437472751,3.0
1.0004041771291452,11.0
1.0001209461267002,4.0
1.0020368060455234,10.0
1.0014836346019922,5.0
1.0033204347378588,12.0
1.0025008805687396,4.0
1.0053839090609513,12.0
1.0009232454259895,4.0
1.001459313831468,12.0
1.0,4.0
1.005635786219933,10.0
1.0034069594057888,4.0
1.0,10.0
1.00200520476647,5.0
1.0009870660108655,10.0
1.0,3.0
1.0042523369256868,11.0
1.0,4.0
1.0019910212190848,12.0
1.0006200583230618,3.0
1.0023136062897635,10.0
1.0,4.0
1.001155229174689,10.0
1.000346466575781,3.0
1.0046485214829506,11.0
1.00111308568709,4.0
1.0,13.0
1.002987340409755,5.0
1.004256078977171,10.0
1.0023189922459044,4.0
1.001342684997331,11.0
1.000434651258638,5.0
1.0018428539135322,11.0
1.0002544300691179,4.0
1.0068620745646621,12.0
1.0011320889042572,4.0
1.0,10.0
1.0,3.0
1.0035217443157503,10.0
1.0031497509337917,3.0
1.0035266477957805,11.0
1.0,3.0
1.0076487879752454,10.0
1.0013608470248496,3.0
1.0030945327908527,11.0
1.0018846308497198,4.0
1.0055070817349452,10.0
1.0031046570897655,4.0
1.013040218016946,10.0
1.003375420749412,3.0
1.0092363998556444,12.0
1.0,4.0
1.0096042858071308,10.0
1.0010660274584182,5.0
1.0054467114267522,12.0
1.0,5.0
1.0049793095696569,13.0
1.0003864687345059,4.0
1.0007738345617148,11.0
1.0013194306411655,3.0
1.0011204268211966,10.0
1.0,5.0
1.0022384546158467,10.0
1.0,3.0
1.0,12.0
1.001046752025836,4.0
1.0006516156897525,13.0
1.0008088597434723,4.0
1.0,11.0
1.0021727234785835,3.0
1.0021922355004456,12.0
1.0,4.0
1.0030772806687067,10.0
1.0,4.0
1.0,10.0
1.0008966558729144,3.0
1.0038054594713046,10.0
1.0000299286375998,5.0
1.000042815026851,11.0
1.0,4.0
1.0040334312754975,12.0
1.0041195840348704,5.0
1.0045126140125087,12.0
1.0008447817335389,3.0
1.002316663495664,11.0
1.0038563563962537,5.0
1.0,12.0
1.0003627284201284,3.0
1.0001327451923392,10.0
1.0003113044597207,4.0
1.0008700176315866,11.0
1.0,3.0
1.0037657565896425,10.0
1.0026819498853303,4.0
1.0,12.0
1.0028359010724968,3.0
1.0166045196021778,12.0
1.0,5.0
1.0,10.0
1.0014048635371795,4.0
1.004495624842571,10.0
1.002947665423241,4.0
1.005833199739668,10.0
1.0,5.0
1.0,11.0
1.0020788047604792,5.0
1.0090292384968045,12.0
1.0,3.0
1.0041477096360856,11.0
1.0002962953896744,4.0
1.0062968270378367,10.0
1.0016367640411983,4.0
1.0093246881224192,12.0
1.005179109774177,4.0
1.0073824839316512,10.0
1.008330649995942,4.0
1.0009555348616956,10.0
1.0017266855064253,4.0
1.001569170577935,10.0
1.0063219731219921,4.0
1.0084462915355534,10.0
1.0,5.0
1.0001064476631394,10.0
1.001115750680439,4.0
1.0001258871563774,10.0
1.0,5.0
1.0001677752943536,11.0
1.0006468225285108,5.0
1.0057075271218638,12.0
1.0,3.0
1.0,10.0
1.008069411592322,3.0
1.0048750837887273,10.0
1.0,3.0
1.0030511253665997,10.0
1.0024218634717479,4.0
1.0013677373050514,12.0
1.0033687407946532,4.0
1.0064719680607956,10.0
1.0006733650580295,4.0
1.0001585194161224,10.0
1.0001164410788068,3.0
1.0028228665932217,12.0
1.0007589765120992,4.0
1.0,12.0
1.0011988037468995,3.0
1.0017967742376528,11.0
1.00359470356479,5.0
1.0056211039583174,11.0
1.0,3.0
1.0052667038281962,10.0
1.001503228474188,4.0
1.00574790083717,12.0
1.0006467661691543,5.0
1.0007442990564963,12.0
1.0,3.0
1.0,11.0
1.0036589984705424,3.0
1.004028203265918,13.0
1.0012972263750681,4.0
1.000175334696565,12.0
1.0,4.0
1.0014550021055924,10.0
1.0,3.0
1.0001425712952436,13.0
1.003917606054715,4.0
1.0031956204645633,11.0
1.002025565868578,4.0
1.0014780306840847,10.0
1.0,3.0
1.007821111454935,11.0
1.0020189947958669,4.0
1.0002392524263382,10.0
1.00073042112773,5.0
1.004549388795798,13.0
1.0002899591295704,4.0
1.001849379899522,10.0
1.0004884738338904,3.0
1.000422046217562,11.0
1.0049164704111149,3.0
1.005261456509193,10.0
1.0003596027460573,3.0
1.0,10.0
1.001470713327379,5.0
1.0,10.0
1.0,4.0
1.0026055475461606,11.0
1.0025230434852022,4.0
1.003241639960075,12.0
1.0005609770108104,3.0
1.0004758386458086,10.0
1.0004109101420744,6.0
1.0105589155165557,11.0
1.0004435149794102,3.0
1.0114994951615186,10.0
1.0009617978582401,4.0
1.0022594645362177,12.0
1.0010986281929988,4.0
1.0,11.0
1.0041025079073895,4.0
1.0,11.0
1.0008541251805867,4.0
1.0,10.0
1.003083557394511,4.0
1.003375325071313,10.0
1.0,3.0
1.0,10.0
1.000338861998977,3.0
1.0050806158950696,10.0
1.0004898087096894,4.0
1.0036499741552896,10.0
1.0043423276498336,4.0
1.001031624288593,10.0
1.0,3.0
1.0030036778115161,13.0
1.0,4.0
1.0020981321915283,12.0
1.0007713659079882,4.0
1.0009709593395724,10.0
1.0042222493764312,4.0
1.0100735861966859,11.0
1.0031685971959228,4.0
1.002901874607687,10.0
1.0,4.0
1.0018417049143438,10.0
1.0039266130367752,4.0
1.0027528381861417,10.0
1.0,4.0
1.000448570713847,10.0
1.002519076663599,4.0
1.0112580938920706,11.0
1.0036971063550404,6.0
1.0064671196494153,10.0
1.00139053945952,5.0
1.0217002055762638,10.0
1.0010024968082363,4.0
1.0025564722959233,10.0
1.0002974955304704,3.0
1.004080624185809,10.0
1.0044930092615358,4.0
1.0079968069038396,10.0
1.0,5.0
1.0,10.0
1.0,4.0
1.0,11.0
1.0,3.0
1.0,10.0
1.0181397190888277,4.0
1.0310795164193667,11.0
1.0,3.0
1.004691337779885,10.0
1.0014370132834305,4.0
1.0040848518381833,10.0
1.0001230956034555,3.0
1.0015808699479207,10.0
1.0,3.0
1.0037549722617638,11.0
1.0015508961270005,4.0
1.0028645856980098,10.0
1.000542511197922,3.0
1.0,11.0
1.00083648434336,5.0
1.001426209233284,10.0
1.0,5.0
1.003382735388073,12.0
1.0,4.0
1.0073904549966177,10.0
1.0,5.0
1.0033340866259208,11.0
1.001673027173269,4.0
1.0130164330712506,10.0
1.0014803468031006,5.0
1.0051569423351499,10.0
1.0088939396204974,4.0
1.0035408523855234,13.0
1.0,5.0
1.0082906676157442,11.0
1.0022602374211338,4.0
1.0009912552891396,11.0
1.001399433926727,3.0
1.000880697049215,11.0
1.0007350169816067,5.0
1.0,11.0
1.007532306500456,3.0
1.0054002827765258,10.0
1.001206861317809,6.0
1.0102959708060397,10.0
1.0,3.0
1.0000552724518923,10.0
1.0027534589250222,4.0
1.0006056137332209,10.0
1.0009929927531893,3.0
1.0084271619268719,10.0
1.0,4.0
1.0,11.0
1.0,5.0
1.0079960601415774,10.0
1.0054640576621803,5.0
1.0,11.0
1.0,5.0
1.0088147315396596,11.0
1.0079909125311097,4.0
1.0156262751483547,10.0
1.0,4.0
1.008048056958035,10.0
1.0036637377345627,5.0
1.0050641854266227,10.0
1.000550633072663,4.0
1.0013893220328618,11.0
1.0086866038332638,4.0
1.0,10.0
1.004343455135032,3.0
