PoF,Source,Sorted
1.0398737553342816,"beta(0.6, 0.1)",True
1.0,"beta(0.1, 0.6)",False
1.0,"beta(0.1, 0.6)",True
1.0,KDE,False
1.0174947505035232,KDE,True
1.019256050492264,"uniform(0, 1)",False
1.0308717170583843,"uniform(0, 1)",True
1.0,"beta(1, 6)",False
1.0439963238816405,"beta(1, 6)",True
1.0027820087890942,"beta(6, 1)",False
1.0122346541779799,"beta(6, 1)",True
1.0020407016103212,"beta(2, 5)",False
1.0340066429496728,"beta(2, 5)",True
1.001092106779924,"beta(5, 2)",False
1.025878403242524,"beta(5, 2)",True
1.000470977849168,"beta(0.5, 0.5)",False
1.083954454744784,"beta(0.5, 0.5)",True
1.035855485414341,"beta(0.6, 0.1)",False
1.014938219179501,"beta(0.6, 0.1)",True
1.0,"beta(0.1, 0.6)",False
1.0000952895213289,"beta(0.1, 0.6)",True
1.0,KDE,False
1.006744547594723,KDE,True
1.0,"uniform(0, 1)",False
1.0532722052834222,"uniform(0, 1)",True
1.0029065425929118,"beta(1, 6)",False
1.1560014563695942,"beta(1, 6)",True
1.0,"beta(6, 1)",False
1.0266720051807985,"beta(6, 1)",True
1.0,"beta(2, 5)",False
1.0365905547615955,"beta(2, 5)",True
1.0,"beta(5, 2)",False
1.0257897306916697,"beta(5, 2)",True
1.0012270321014969,"beta(0.5, 0.5)",False
1.0330464081707862,"beta(0.5, 0.5)",True
1.0073243013083535,"beta(0.6, 0.1)",False
1.030126540082887,"beta(0.6, 0.1)",True
1.0,"beta(0.1, 0.6)",False
1.0,"beta(0.1, 0.6)",True
1.0191131581520143,KDE,False
1.0150821253288278,KDE,True
1.0133990787650116,"uniform(0, 1)",False
1.0512124322482228,"uniform(0, 1)",True
1.0029269044134637,"beta(1, 6)",False
1.028715997489965,"beta(1, 6)",True
1.0,"beta(6, 1)",False
1.018949819985988,"beta(6, 1)",True
1.0,"beta(2, 5)",False
1.0093379092898418,"beta(2, 5)",True
1.0054923526039774,"beta(5, 2)",False
1.0421044400131823,"beta(5, 2)",True
1.0109211213852476,"beta(0.5, 0.5)",False
1.0546912511736157,"beta(0.5, 0.5)",True
1.0027743066869024,"beta(0.6, 0.1)",False
1.015760315446715,"beta(0.6, 0.1)",True
1.0,"beta(0.1, 0.6)",False
1.0,"beta(0.1, 0.6)",True
1.0,KDE,False
1.034072553671247,KDE,True
1.0,"uniform(0, 1)",False
1.026140082800677,"uniform(0, 1)",True
1.0,"beta(1, 6)",False
1.0335481555577613,"beta(1, 6)",True
1.0,"beta(6, 1)",False
1.0119348141875983,"beta(6, 1)",True
1.0014349469797126,"beta(2, 5)",False
1.031407600368724,"beta(2, 5)",True
1.0,"beta(5, 2)",False
1.0304589132837316,"beta(5, 2)",True
1.0,"beta(0.5, 0.5)",False
1.063291612779102,"beta(0.5, 0.5)",True
1.0012488816241079,"beta(0.6, 0.1)",False
1.0255957810377723,"beta(0.6, 0.1)",True
1.0,"beta(0.1, 0.6)",False
1.0,"beta(0.1, 0.6)",True
1.0006168525042338,KDE,False
1.028667449836266,KDE,True
1.0164482199208416,"uniform(0, 1)",False
1.0369272282386657,"uniform(0, 1)",True
1.0026703994831485,"beta(1, 6)",False
1.0302877480747215,"beta(1, 6)",True
1.0,"beta(6, 1)",False
1.0203279776096197,"beta(6, 1)",True
1.0016925648261412,"beta(2, 5)",False
1.0271191526977261,"beta(2, 5)",True
1.0,"beta(5, 2)",False
1.028575949826981,"beta(5, 2)",True
1.0,"beta(0.5, 0.5)",False
1.0325156712958294,"beta(0.5, 0.5)",True
1.0,"beta(0.6, 0.1)",False
1.0482690743537257,"beta(0.6, 0.1)",True
1.0,"beta(0.1, 0.6)",False
1.0,"beta(0.1, 0.6)",True
1.0006085274986813,KDE,False
1.0056935301112613,KDE,True
1.0,"uniform(0, 1)",False
1.0524886961166207,"uniform(0, 1)",True
1.017546008801274,"beta(1, 6)",False
1.020320584202592,"beta(1, 6)",True
1.0014176909054815,"beta(6, 1)",False
1.01126751438526,"beta(6, 1)",True
1.0091537476569263,"beta(2, 5)",False
1.0098859895976267,"beta(2, 5)",True
1.0004481216289254,"beta(5, 2)",False
1.028673030760954,"beta(5, 2)",True
1.0,"beta(0.5, 0.5)",False
1.0416491339141987,"beta(0.5, 0.5)",True
1.003629055663684,"beta(0.6, 0.1)",False
1.0041898943091414,"beta(0.6, 0.1)",True
1.0,"beta(0.1, 0.6)",False
1.0011771019058664,"beta(0.1, 0.6)",True
1.0052704910156625,KDE,False
1.0113290557484136,KDE,True
1.0235096249305473,"uniform(0, 1)",False
1.0365112422551188,"uniform(0, 1)",True
1.0080972009037132,"beta(1, 6)",False
1.0224372812698548,"beta(1, 6)",True
1.001470706892884,"beta(6, 1)",False
1.0118642655386556,"beta(6, 1)",True
1.0,"beta(2, 5)",False
1.02032903635909,"beta(2, 5)",True
1.0016805952835628,"beta(5, 2)",False
1.0153920235579914,"beta(5, 2)",True
1.0,"beta(0.5, 0.5)",False
1.0774895381256246,"beta(0.5, 0.5)",True
1.0,"beta(0.6, 0.1)",False
1.0328363180025812,"beta(0.6, 0.1)",True
1.0,"beta(0.1, 0.6)",False
1.0008796481407434,"beta(0.1, 0.6)",True
1.0,KDE,False
1.094625878332323,KDE,True
1.003201589567105,"uniform(0, 1)",False
1.0387699852316552,"uniform(0, 1)",True
1.0,"beta(1, 6)",False
1.042656209921961,"beta(1, 6)",True
1.0,"beta(6, 1)",False
1.0079886799779596,"beta(6, 1)",True
1.0168790279198794,"beta(2, 5)",False
1.0340637556567125,"beta(2, 5)",True
1.0,"beta(5, 2)",False
1.025828236736651,"beta(5, 2)",True
1.018686094296088,"beta(0.5, 0.5)",False
1.081942027968171,"beta(0.5, 0.5)",True
1.000101137019238,"beta(0.6, 0.1)",False
1.0178155781295763,"beta(0.6, 0.1)",True
1.0,"beta(0.1, 0.6)",False
1.0,"beta(0.1, 0.6)",True
1.003921432630054,KDE,False
1.0210872830707278,KDE,True
1.0,"uniform(0, 1)",False
1.0276320159415477,"uniform(0, 1)",True
1.0027662517289073,"beta(1, 6)",False
1.0480890674977446,"beta(1, 6)",True
1.0,"beta(6, 1)",False
1.0170224897839446,"beta(6, 1)",True
1.0140941588719021,"beta(2, 5)",False
1.0439911499354797,"beta(2, 5)",True
1.0018451477568224,"beta(5, 2)",False
1.0261716800635345,"beta(5, 2)",True
1.0,"beta(0.5, 0.5)",False
1.0576662854078993,"beta(0.5, 0.5)",True
1.0,"beta(0.6, 0.1)",False
1.0311802672036954,"beta(0.6, 0.1)",True
1.0,"beta(0.1, 0.6)",False
1.0,"beta(0.1, 0.6)",True
1.0082683902470926,KDE,False
1.0230184692504725,KDE,True
1.0092883671683182,"uniform(0, 1)",False
1.0066168187396203,"uniform(0, 1)",True
1.0160133843212238,"beta(1, 6)",False
1.0141186939219422,"beta(1, 6)",True
1.0004350096940273,"beta(6, 1)",False
1.0118941279371936,"beta(6, 1)",True
1.0042280271433615,"beta(2, 5)",False
1.0044674823813173,"beta(2, 5)",True
1.0,"beta(5, 2)",False
1.0220370895304474,"beta(5, 2)",True
1.0,"beta(0.5, 0.5)",False
1.0258306011329767,"beta(0.5, 0.5)",True
1.010934332667609,"beta(0.6, 0.1)",False
1.0269086016108555,"beta(0.6, 0.1)",True
1.0,"beta(0.1, 0.6)",False
1.0,"beta(0.1, 0.6)",True
1.0058269584584099,KDE,False
1.0100833246107344,KDE,True
1.0,"uniform(0, 1)",False
1.0342520944362197,"uniform(0, 1)",True
1.0,"beta(1, 6)",False
1.026948486843599,"beta(1, 6)",True
1.0010427587318742,"beta(6, 1)",False
1.0169742758252769,"beta(6, 1)",True
1.0027174548943438,"beta(2, 5)",False
1.018688526243087,"beta(2, 5)",True
1.0004606898297699,"beta(5, 2)",False
1.0187697330890222,"beta(5, 2)",True
1.0,"beta(0.5, 0.5)",False
1.0503157862550703,"beta(0.5, 0.5)",True
1.0058918715716383,"beta(0.6, 0.1)",False
1.0396255062394468,"beta(0.6, 0.1)",True
1.0,"beta(0.1, 0.6)",False
1.0,"beta(0.1, 0.6)",True
1.0009733464852537,KDE,False
1.0678048011766559,KDE,True
1.0,"uniform(0, 1)",False
1.0712589052929233,"uniform(0, 1)",True
1.0041941599500088,"beta(1, 6)",False
1.0273352852629318,"beta(1, 6)",True
1.0003447108695631,"beta(6, 1)",False
1.0192927475985254,"beta(6, 1)",True
1.0084673157421764,"beta(2, 5)",False
1.0286539233594216,"beta(2, 5)",True
1.0,"beta(5, 2)",False
1.0276067603473305,"beta(5, 2)",True
1.0,"beta(0.5, 0.5)",False
1.0538328201640246,"beta(0.5, 0.5)",True
1.0007083025679293,"beta(0.6, 0.1)",False
1.0141924612298456,"beta(0.6, 0.1)",True
1.0,"beta(0.1, 0.6)",False
1.0,"beta(0.1, 0.6)",True
1.0054075393624513,KDE,False
1.0078980346897157,KDE,True
1.0090937576061079,"uniform(0, 1)",False
1.0322423223522106,"uniform(0, 1)",True
1.02116277702663,"beta(1, 6)",False
1.0781874553229644,"beta(1, 6)",True
1.0009423355131555,"beta(6, 1)",False
1.0161032622580863,"beta(6, 1)",True
1.0019614283925031,"beta(2, 5)",False
1.0111384772670506,"beta(2, 5)",True
1.0,"beta(5, 2)",False
1.0218816961264303,"beta(5, 2)",True
1.0,"beta(0.5, 0.5)",False
1.072560961655375,"beta(0.5, 0.5)",True
1.0039613522250195,"beta(0.6, 0.1)",False
1.0122669671877904,"beta(0.6, 0.1)",True
1.0,"beta(0.1, 0.6)",False
1.0,"beta(0.1, 0.6)",True
1.0,KDE,False
1.0182976111717772,KDE,True
1.0307849482476912,"uniform(0, 1)",False
1.0595654129780128,"uniform(0, 1)",True
1.0,"beta(1, 6)",False
1.0215301385385824,"beta(1, 6)",True
1.0015094974328564,"beta(6, 1)",False
1.021509005732243,"beta(6, 1)",True
1.0186021570897563,"beta(2, 5)",False
1.0230683134427425,"beta(2, 5)",True
1.0,"beta(5, 2)",False
1.0209762295869957,"beta(5, 2)",True
1.0059808861859252,"beta(0.5, 0.5)",False
1.0932514187512279,"beta(0.5, 0.5)",True
1.0,"beta(0.6, 0.1)",False
1.0517006158041062,"beta(0.6, 0.1)",True
1.0,"beta(0.1, 0.6)",False
1.0,"beta(0.1, 0.6)",True
1.000865601940658,KDE,False
1.028398298123572,KDE,True
1.0011058981233243,"uniform(0, 1)",False
1.042312304693348,"uniform(0, 1)",True
1.0,"beta(1, 6)",False
1.0154481248622063,"beta(1, 6)",True
1.0003570735898795,"beta(6, 1)",False
1.0220976961412067,"beta(6, 1)",True
1.0,"beta(2, 5)",False
1.0311308044237906,"beta(2, 5)",True
1.00125768130894,"beta(5, 2)",False
1.0255896167200131,"beta(5, 2)",True
1.016596930460173,"beta(0.5, 0.5)",False
1.0501409216642874,"beta(0.5, 0.5)",True
1.0,"beta(0.6, 0.1)",False
1.0222817896396734,"beta(0.6, 0.1)",True
1.0,"beta(0.1, 0.6)",False
1.0,"beta(0.1, 0.6)",True
1.0,KDE,False
1.0082160903914223,KDE,True
1.0,"uniform(0, 1)",False
1.0650103118178413,"uniform(0, 1)",True
1.003601010810052,"beta(1, 6)",False
1.0299634576573105,"beta(1, 6)",True
1.0030011663099674,"beta(6, 1)",False
1.025553685520611,"beta(6, 1)",True
1.0,"beta(2, 5)",False
1.0238686899130873,"beta(2, 5)",True
1.0,"beta(5, 2)",False
1.012893949669069,"beta(5, 2)",True
1.0,"beta(0.5, 0.5)",False
1.0373061590447863,"beta(0.5, 0.5)",True
1.0,"beta(0.6, 0.1)",False
1.0482161093345543,"beta(0.6, 0.1)",True
1.0,"beta(0.1, 0.6)",False
1.0,"beta(0.1, 0.6)",True
1.0,KDE,False
1.0357815233123249,KDE,True
1.006628992725628,"uniform(0, 1)",False
1.0346501658734675,"uniform(0, 1)",True
1.0,"beta(1, 6)",False
1.0134702296604985,"beta(1, 6)",True
1.0,"beta(6, 1)",False
1.0196449643860737,"beta(6, 1)",True
1.009108359674932,"beta(2, 5)",False
1.0233425938911835,"beta(2, 5)",True
1.0000694564803219,"beta(5, 2)",False
1.0236055819873238,"beta(5, 2)",True
1.0,"beta(0.5, 0.5)",False
