PoF,Order proportion
1.0006615400307137,5.0
1.0008771431008503,10.0
1.0000886922400727,4.0
1.0,12.0
1.0,4.0
1.0019641893714595,11.0
1.0021128264186625,3.0
1.0039907068364793,10.0
1.002175946031024,4.0
1.0020515440890747,10.0
1.0029113248903094,4.0
1.000046229484703,11.0
1.0003417703561148,3.0
1.0034860874768194,11.0
1.0005619385303768,4.0
1.0022420292072962,10.0
1.0017002232954735,4.0
1.00242437240225,10.0
1.0,3.0
1.0014277528516637,11.0
1.0026223487312687,4.0
1.0052161804502575,10.0
1.0016221812483799,5.0
1.0011548793653184,11.0
1.002892163293123,3.0
1.0106667623441075,11.0
1.0,4.0
1.0010657539664078,11.0
1.0,4.0
1.0000691890821085,10.0
1.0043302873006579,3.0
1.0012762998733227,10.0
1.0010794668698115,4.0
1.0023065798593958,11.0
1.0010306659095014,5.0
1.000796694287773,11.0
1.0006580303365724,3.0
1.0041960722469925,10.0
1.000016678235538,4.0
1.0040087354060683,10.0
1.00019351496761,4.0
1.0021542664985288,10.0
1.0,4.0
1.0001628389770791,11.0
1.0019587844473274,3.0
1.0026444565836,10.0
1.00078385248039,4.0
1.0022530768804039,10.0
1.0002770546438704,6.0
1.0003702894552673,11.0
1.000214556411916,4.0
1.0010312882236185,10.0
1.0,4.0
1.0024030740044247,12.0
1.0002893371043864,3.0
1.0,10.0
1.0023870098416543,3.0
1.0033614948063885,10.0
1.0000305959657032,4.0
1.0021524415588343,10.0
1.0023794032751883,5.0
1.0023411279628642,11.0
1.0021372553303922,4.0
1.001786973600656,10.0
1.0000369086825371,4.0
1.0000030820725088,12.0
1.0,4.0
1.0,12.0
1.0001734217513678,6.0
1.002582973371972,12.0
1.0,4.0
1.0058389732959512,10.0
1.0,4.0
1.0,11.0
1.0015914260162946,4.0
1.0,11.0
1.0012940095281353,4.0
1.0051825675522537,12.0
1.00096103407584,4.0
1.0031999736537331,10.0
1.0003156346893822,4.0
1.000451859109435,11.0
1.0,4.0
1.0072615623044507,12.0
1.0026572001798497,4.0
1.0017081050951526,10.0
1.0053946746353202,4.0
1.0088049964936505,11.0
1.0002941643765366,3.0
1.0031908944629375,10.0
1.0,4.0
1.0,10.0
1.0006547907424757,7.0
1.0021417772849586,11.0
1.0005273065284634,4.0
1.0011352138397376,12.0
1.0,4.0
1.0016726181984785,11.0
1.0012236053344847,4.0
1.0,10.0
1.0014936466823454,4.0
1.0005211051036382,12.0
1.0000016002637235,4.0
1.0007036547571628,10.0
1.0001248220130554,5.0
1.0010502867826037,10.0
1.0000717873048772,5.0
1.0008471520885915,10.0
1.0015769812347344,3.0
1.0013446971099378,10.0
1.0004655962787108,4.0
1.0006372257807457,11.0
1.0048638606619726,3.0
1.0,11.0
1.0020765728856378,4.0
1.0002784276037344,10.0
1.0,4.0
1.0016693807060244,11.0
1.0000231170250924,3.0
1.0007420698703309,11.0
1.0031375011611134,4.0
1.0035380064089805,10.0
1.0009029263844116,4.0
1.0024485798237022,13.0
1.0035177161099131,5.0
1.003263972071442,10.0
1.0003342644463316,3.0
1.003438444862286,11.0
1.0,4.0
1.0008110473496816,11.0
1.0017142866080742,4.0
1.002882445734183,10.0
1.0013814069885996,5.0
1.003128669852622,12.0
1.0007841147931684,3.0
1.0001811594202898,11.0
1.0011497321293632,3.0
1.0006994122396438,10.0
1.000635027624482,4.0
1.0003395100334151,10.0
1.001906871354259,3.0
1.0000060805706006,10.0
1.0032584452091127,4.0
1.000118504429931,10.0
1.0004805628545284,4.0
1.003567472178345,11.0
1.0010566296991212,4.0
1.0,10.0
1.0008078708848138,4.0
1.0013163786155637,12.0
1.0031084138631028,4.0
1.0052180726968354,13.0
1.0008219363804296,4.0
1.0016142800524375,12.0
1.0001256441236877,4.0
1.0,10.0
1.0000265381740876,4.0
1.0018602528828195,10.0
1.000599506734965,4.0
1.0,12.0
1.0051009794831562,4.0
1.00192057847497,11.0
1.0,5.0
1.001571598353198,10.0
1.0010598747717192,3.0
1.0043160564040923,12.0
1.0,5.0
1.0026590612707937,10.0
1.0,4.0
1.0016465534334484,10.0
1.0,4.0
1.0047376549176765,10.0
1.0041960981777167,4.0
1.001179978081632,11.0
1.0024056151822398,3.0
1.0029680356649104,10.0
1.0000357187795543,4.0
1.0017922881999426,10.0
1.0,5.0
1.0,12.0
1.0,4.0
1.0035309791449172,13.0
1.000246160219234,4.0
1.0036952649628519,11.0
1.0005135525715467,3.0
1.0002759832360315,11.0
1.0002301932591475,3.0
1.000839027772611,10.0
1.0,3.0
1.0005671827588891,10.0
1.001597236987445,3.0
1.0,10.0
1.0,3.0
1.003789620550365,11.0
1.001534969584133,3.0
1.0,10.0
1.0019610739136144,3.0
1.0015683142518048,10.0
1.0,4.0
1.0013570909952103,10.0
1.0021183420058881,5.0
1.0000219781599886,11.0
1.0009213439967743,4.0
1.0051818415981082,10.0
1.0003788412671384,4.0
1.0009617521079888,10.0
1.0003602372742098,4.0
1.0015288638275337,11.0
1.0008827215517018,4.0
1.0027110385807652,11.0
1.0026855348411974,4.0
1.0004496086324854,10.0
1.0033768840320125,4.0
1.0040486700811886,12.0
1.0009767239661929,4.0
1.0034405371988027,12.0
1.0028383403847891,4.0
1.001353202034694,10.0
1.0024132470607194,5.0
1.0011157009050784,10.0
1.0015850039806038,3.0
1.0000345019048262,12.0
1.000594836117284,3.0
1.0012430889368844,11.0
1.0010718933095,4.0
1.0009916063138895,11.0
1.0,4.0
1.0,10.0
1.0009348718595217,3.0
1.0,10.0
1.0022577201958114,5.0
1.0030435359876972,10.0
1.0,4.0
1.0014022009627253,11.0
1.0012637388030696,4.0
1.0036298009136542,10.0
1.0016831201168368,4.0
1.0018389667543348,11.0
1.0001218724571894,4.0
1.0000386994360837,10.0
1.0,5.0
1.0003652814282955,10.0
1.0016183548732835,5.0
1.0004522517554806,10.0
1.0011144338651632,4.0
1.0008304920001834,12.0
1.0004873903772467,3.0
1.00359650692306,11.0
1.000758318943769,3.0
1.0000383577286027,12.0
1.0000310343356131,3.0
1.0005975371612674,11.0
1.0023455854547885,4.0
1.001922499477375,12.0
1.0,4.0
1.0,10.0
1.0015427053305634,3.0
1.0001511454177623,10.0
1.0,5.0
1.002004770317338,10.0
1.00130507701117,4.0
1.0019187163309153,11.0
1.000041721519289,4.0
1.0007694282449981,10.0
