"uniform(0, 1)","uniform(0, 1)_sorted","beta(1, 6)","beta(1, 6)_sorted","beta(6, 1)","beta(6, 1)_sorted","beta(2, 5)","beta(2, 5)_sorted","beta(5, 2)","beta(5, 2)_sorted","beta(0.5, 0.5)","beta(0.5, 0.5)_sorted","beta(0.6, 0.1)","beta(0.6, 0.1)_sorted","beta(0.1, 0.6)","beta(0.1, 0.6)_sorted"
1.0039805274427627,1.0737610006654104,1.0212680939920857,1.031555303194776,1.001056932469418,1.0166777902027426,1.0,1.023274247242775,1.005434670953626,1.027842873334843,1.0,1.0735253053911604,1.0000461698603151,1.04572589294128,1.0,1.0
1.0,1.071250583955159,1.0,1.0289526912479392,1.0,1.021540566375758,1.0,1.0402836466074117,1.0009058726772113,1.026617887304154,1.010469859686199,1.0281763374977164,1.0016263218382497,1.0378826962886851,1.0,1.0
1.0,1.0245196581564597,1.0089424572317263,1.0261679797779455,1.0012460444410947,1.0231062107440712,1.0,1.0424033547253913,1.0,1.0175470100035353,1.0,1.0163760857534239,1.0008752648392665,1.0131978210409205,1.0,1.0
1.0114082935110664,1.081474398403442,1.0,1.0447618831331047,1.0,1.0125840089063172,1.0,1.0515866325817917,1.0012005936793946,1.0239938727545321,1.0,1.0663150542825155,1.0,1.0260299781919169,1.0,1.0184049079754602
1.0,1.063496058335472,1.006956439662089,1.0148285691869132,1.0,1.0166419456014109,1.0029931737665256,1.0243467273482425,1.0,1.024782522751407,1.0,1.0644103583309457,1.0032718335244961,1.0085981917264817,1.0,1.0173116973273169
1.0,1.0277940715365927,1.0,1.0525849258284017,1.0008287936938343,1.0111780879151981,1.0230481771106312,1.027724537552931,1.0,1.0420044099995207,1.0,1.018180314606025,1.0066029210748668,1.0258680376113052,1.0,1.0
1.013892577836801,1.0629078306790989,1.0184539378087767,1.0102569723923016,1.0,1.009761970054525,1.0,1.0501305673413024,1.0,1.0274941727819402,1.0,1.1150510190139418,1.0,1.0182277043128243,1.0,1.0
1.015561453293092,1.0263787288468276,1.0141190561192173,1.04086508567574,1.0039818768738211,1.0049328987835513,1.0,1.0431142965717881,1.0024385409715844,1.01618932817394,1.0,1.0789697682167083,1.0011796715298904,1.0535220426339476,1.0,1.0029671676449718
1.0,1.085095050482106,1.000139387068597,1.0514523549743255,1.0001626343224712,1.0143269401725954,1.0,1.0173216042958961,1.0,1.0098406442806203,1.0,1.0584210409409116,1.0,1.0220199505738419,1.0,1.0148015956330045
1.031260817590614,1.0695348351903389,1.0342946658097685,1.0808937925273652,1.0,1.0111309554070058,1.0030635532720997,1.0223928818244643,1.0,1.0146701395598083,1.0,1.0683650485436895,1.0000014595184321,1.0336180172903662,1.0,1.0
1.0071610792099737,1.022221509716024,1.0047116619215095,1.0213110271173362,1.0,1.0099774088459987,1.0096011567523167,1.0458291380552682,1.002304353909485,1.014294594835405,1.0011535754146583,1.0218720599956332,1.006035730988682,1.0623933845370448,1.0,1.0
