PoF,N,Sorted rows
1.1347557197465938,30,False
1.0410548299946023,30,False
1.0350948476676514,30,False
1.0772950902543694,30,False
1.0543259129647815,30,False
1.0917760083888333,30,False
1.063592739677124,30,False
1.080303954946407,30,False
1.0132781616002324,30,False
1.0766679612458219,30,False
1.0775310752126597,30,False
1.07435056226255,30,False
1.0164969046788626,30,False
1.0545748763234188,30,False
1.1580608660989928,30,False
1.0222632678832477,30,False
1.01243970814372,30,False
1.046373417578868,30,False
1.0152398565798142,30,False
1.129143608284994,30,False
1.0344521828210156,30,False
1.0553647262871844,30,False
1.026389098533719,30,False
1.0,30,False
1.186593271593982,30,False
1.0798641710224606,30,False
1.0716879765362965,30,False
1.0197664725752007,30,False
1.0468089268416292,30,False
1.033395326644367,30,False
1.0344833349546823,30,False
1.0605896245749107,30,False
1.0446682392384885,30,False
1.0359321317949985,30,False
1.0354246059104495,30,False
0.9999999999999999,30,False
1.0432333164503858,30,False
1.0591937275163268,30,False
1.0239473686375313,30,False
1.0227355393499347,30,False
1.013184272818783,30,False
1.0708291543974748,30,False
1.0595211164786205,30,False
1.0463008846134214,30,False
1.0197899681204197,30,False
1.0395301131942922,30,False
1.136889789541392,30,False
1.0315085928810122,30,False
1.0756684681606108,30,False
1.0160713932982628,30,False
1.0509960474499547,30,False
1.0585322078183295,30,False
1.0296291628919707,30,False
1.0864186010890762,30,False
1.1276581348468293,30,False
1.026428662426143,30,False
1.0847082886382462,30,False
1.0318553024395274,30,False
1.0873061930930974,30,False
1.0476915375450315,30,False
1.0000000000000002,30,False
1.0110132147998367,30,False
1.0494085786307883,30,False
1.0150156842921594,30,False
1.0159278883710785,30,False
1.0390118906934558,30,False
1.0,30,False
1.0000000000000004,30,False
1.093502554487796,30,False
1.007917447795108,30,False
1.0108968930565965,30,False
1.075766972077772,30,False
1.0597963520039297,30,False
1.0576927108432987,30,False
1.0606535146378337,30,False
1.0447441809243243,30,False
1.0049002548501993,30,False
1.0348599787689445,30,False
1.0197358400758458,30,False
1.0326163070620014,30,False
1.0530082864932233,30,False
1.053945183848177,30,False
1.1139065337458944,30,False
1.0466003057670228,30,False
1.003774177208508,30,False
1.0569005307663721,30,False
1.1252464507289968,30,False
1.0455330964672709,30,False
1.039774649097358,30,False
1.0647206836177368,30,False
1.0475344199373589,30,False
1.0589522816139258,30,False
1.038324398663466,30,False
1.065800059405428,30,False
1.0862718608108073,30,False
1.0142793241498647,30,False
1.0981744328170309,30,False
1.0275146919647347,30,False
1.016448469497605,30,False
1.0166587949243366,30,False
1.0330901840869673,30,False
1.1017878919604813,30,False
1.0282302649572372,30,False
1.0475467910837395,30,False
1.0453898495433633,30,False
1.0262494315541781,30,False
1.0465219886149453,30,False
1.0214180434928222,30,False
1.0183717828499539,30,False
1.0332553701676723,30,False
1.0,30,False
1.014578035833591,30,False
1.0155916524380135,30,False
1.0364416883484613,30,False
1.003026402354988,30,False
1.0583849984082774,30,False
1.0187197625511344,30,False
1.0127977417592258,30,False
1.0057324991750527,30,False
1.0764956219934012,30,False
1.0642716254501374,30,False
1.0,30,False
1.0256203840611988,30,False
1.029321981621372,30,False
1.0187016976162822,30,False
1.12512609054757,30,False
1.0692505877695722,30,False
1.0052612252732305,30,False
1.0129178228273776,30,False
1.0788131573869641,30,False
1.0279785817594576,30,False
1.0118236438667907,30,False
1.048880863280738,30,False
1.0150099690272798,30,False
1.0215681573091677,30,False
1.0190598251902285,30,False
1.0787383678531672,30,False
1.0080254569117755,30,False
1.0665264625439854,30,False
1.0350258374137078,30,False
1.0454544500772125,30,False
1.0684844877218034,30,False
1.0299601805143497,30,False
1.046029697577744,30,False
1.0401081771449319,30,False
1.0136215062692855,30,False
1.11917292364175,30,False
1.0108983090224521,30,False
1.064304139746306,30,False
1.0545682954862594,30,False
1.0456046812017936,30,False
1.0340547371237827,30,False
1.0381410726480147,30,False
1.0045019608079686,30,False
1.023422533917774,30,False
1.0980628440885767,30,False
0.9999999999999997,30,False
1.074356975763908,30,False
1.0171217996610868,30,False
1.0411589437839976,30,False
1.0602499161647247,30,False
1.022073375939659,30,False
1.069317773920676,30,False
1.0818716094712726,30,False
1.0300719365607658,30,False
1.003844315972488,30,False
1.0777740523292254,30,False
1.016944693716713,30,False
1.019924151531866,30,False
1.0497085780878712,30,False
1.0560083873963155,30,False
1.1880891442872188,30,False
1.1483146802130761,30,False
1.0477263154094787,30,False
1.0923012389469096,30,False
1.0609102972565603,30,False
1.1067099715611997,30,False
1.010263068324997,30,False
1.1408996840249281,30,False
1.0577979963241468,30,False
1.028267554837088,30,False
1.0128714799041993,30,False
1.0187093869705377,30,False
1.0431706022812717,30,False
1.033147650412123,30,False
1.012653009455377,30,False
1.0538131637802197,30,False
1.012479164246907,30,False
1.0766117691287054,30,False
1.0205351477234745,30,False
1.0,30,False
1.0279115841498767,30,False
1.0183233495524073,30,False
1.023207166416403,30,False
1.0376032527241301,30,False
1.087447303497516,30,False
1.0305347739851312,30,False
1.0238747882189707,30,False
1.0187391039253206,30,False
1.0108386935375713,30,False
1.0125210000497764,30,False
1.0679258106119662,30,False
1.0392695922916602,30,False
1.0293910039586724,30,False
1.0612929634322434,30,False
1.0188428692266505,30,False
1.0249484664930701,30,False
1.0478494593582879,30,False
1.1299828282566158,30,False
1.0135951922101905,30,False
1.0480959670905803,30,False
1.0153061166949617,30,False
1.1294907780116659,30,False
1.1092132757610464,30,False
1.077466903563776,30,False
1.0685455098012586,30,False
1.0332515555957424,30,False
1.0752689342753787,30,False
1.025139740085897,30,False
1.0395712000223367,30,False
1.0681179765654292,30,False
1.0566544601846135,30,False
1.1195636947388203,30,False
1.003130789983502,30,False
1.012204373532046,30,False
1.0231750116393683,30,False
1.0347457954496353,30,False
1.006520191566143,30,False
1.0,30,False
1.0936866681351765,30,False
1.020638922432104,30,False
1.0189212845339928,30,False
1.0345375797338252,30,False
1.042147435271493,30,False
1.039232712420442,30,False
1.0318096269693904,30,False
1.052531471764152,30,False
1.0,30,False
1.0069049855830867,30,False
1.0250679367990303,30,False
1.0589145621041949,30,False
1.0224461908823084,30,False
0.9999999999999999,30,False
1.0159685777851948,30,False
1.0650035682505854,30,False
1.0601060757753022,30,False
1.0952696587059716,30,False
1.1030596183504322,30,False
1.1070516208334162,30,False
1.0563978989615086,30,False
1.125757261804639,30,False
1.0240691496677345,30,False
1.0553334281920408,30,False
1.0712320192306115,30,False
1.0126623932144558,30,False
1.1481037788201969,30,False
1.0221452219796707,30,False
1.0377556094054101,30,False
1.0105897884643211,30,False
1.0,30,False
1.0155038762409145,30,False
1.0096862384647292,30,False
1.0267847930460277,30,False
1.0218707346082365,30,False
1.1649421210919781,30,False
1.049434746297815,30,False
1.020802623289284,30,False
1.0309856064513563,30,False
1.0581969715532245,30,False
1.094736026559301,30,False
1.0545222131231524,30,False
1.0368486878798011,30,False
1.0089468706357327,30,False
1.0950560285967517,30,False
1.0550913736545442,30,False
1.037837611541906,30,False
1.0590194210609318,30,False
1.0082987257119616,30,False
1.0408432148840467,30,False
1.001867151287702,30,False
1.0318310259987407,30,False
